title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
The Homeless Saint in the Abandoned Park,Reading,,2.1,2024-00-04,"Hai Kouen no Homeless Seijo,廃公園のホームレス聖女,Homeless Saint in Abandoned Park,废弃公园的无家圣女",https://myanimelist.net/manga/172168,,https://www.mangaupdates.com/series/t48azqm
Summoned Japan,Reading,,,2024-18-04,"日本国召喚,일본국 소환,Вызов для Японии,იაპონიის გამოწვევა,استدعاء اليابان,Nihonkoku Shoukan,Japan Summons,Nipponkoku Shōkan,Japan Summon",https://myanimelist.net/manga/115514,https://anilist.co/manga/103898,https://www.mangaupdates.com/series/150117
A Sharp-Eyed Classmate,Reading,,5,2024-10-08,"눈매가 사나운 반친구,A Classmate With Fierce Eyes",,,https://www.mangaupdates.com/series/meuj9v0
Orc no Shuhai ni Shukufuku wo,Reading,,,2024-28-04,"The Half-Blood Orc in the Blended World,オークの酒杯に祝福を",https://myanimelist.net/manga/170618,,https://www.mangaupdates.com/series/isdco6a
Zenbu Kimi no Sei,Reading,,,2024-32-04,"ぜんぶきみの性,都是性别惹的祸,전부 너의 성,All Because of You,All Your Sex",https://myanimelist.net/manga/130052,https://anilist.co/manga/116897,https://www.mangaupdates.com/series/158946
Boku no Ikezu na Konyakusha,Reading,,2,2024-31-04,"僕のいけずな婚約者,My Fiancée Is So Mean!,Tunanganku yang jahil!,Moja niegrzeczna narzeczona.,Boku no Ikezuna Konyakusha",https://myanimelist.net/manga/169051,https://anilist.co/manga/176739,https://www.mangaupdates.com/series/qruwx20
"Imasara desu ga, Osananajimi wo Suki ni Natte Shimaimashita",Reading,,33,2025-33-10,"Imasara desu ga, Osananajimi o Suki ni Natteshimaimashita,Es algo tarde, pero me he enamorado de mi amigo de la infancia,It's a Little Late, but I've Fallen in Love with My Childhood Friend,Có chút muộn màng nhưng tôi đã phải lòng người bạn thuở nhỏ của mình,今さらですが、幼なじみを好きになってしまいました,Nieco Późno, ale Zakochałam się w Moim Przyjacielu z Dzieciństwa,Слишком поздно я влюбилась в друга детства,Saranami,さらなみ,It's Quite Late, but I've Fallen in Love with My Childhood Friend",https://myanimelist.net/manga/172139,https://anilist.co/manga/172369,https://www.mangaupdates.com/series/ixmye9x
A Boyish Girlfriend in High Humidity,Reading,,,2024-25-06,"湿度高めのボーイッシュ彼女,Shitsudo Takame no Boyish Kanojo,Uma namorada masculina com alta umidade",,,https://www.mangaupdates.com/series/7le2riz
A Barbarian Was Admitted to the Academy,Reading,,15,2024-43-10,"Варвар поступил в академию,アカデミーにオランケが入学した,아카데미에 오랑캐가 입학했다,A Barbarian Entered the Academy,Uma Bárbara foi admitida na academia,Un barbare a été admis à l'académie,Entered the Academy as a Barbarian",,,https://www.mangaupdates.com/series/hzlk63o
The New Hire Is the Demon Lord,Reading,,6,2025-15-20,"신입사원은 마왕,The New Employee Is the Devil",https://myanimelist.net/manga/172631,https://anilist.co/manga/181515,https://www.mangaupdates.com/series/5aiiofi
Kono Koi wo Hoshi ni wa Negawanai,Reading,,,2024-36-06,"この恋を星には願わない,There is No Love Wishing Upon a Star,Kono Koi wa Hoshi ni wa Negawanai",https://myanimelist.net/manga/160302,https://anilist.co/manga/159925,https://www.mangaupdates.com/series/82k97c8
Namo Shirazu,Reading,,8,2024-38-11,"I Don’t Even Know Your Name,名も知らず,I Don't Even Know His Name,I Don't Even Know Your Name (YANAGI Nagi)",https://myanimelist.net/manga/168681,,https://www.mangaupdates.com/series/9gdfdfl
